epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1772.98,0.74562,0.6842,0.16391,0.42183,0.85681,0.99018,0.98777,0.9919,0.78843,0.94155,0.93763,0.9345,0.82141,0.87128,1.14999,0.04137,0.42399,0.86912,0.000153076,0.000153076,0.000153076
86,1871.6,0.74256,0.66353,0.15062,0.41875,0.85354,0.99152,0.98643,0.99087,0.78681,0.94571,0.94194,0.93701,0.82051,0.86938,1.15309,0.04144,0.4232,0.86925,0.000144077,0.000144077,0.000144077
87,1979.59,0.74251,0.64124,0.14593,0.4179,0.85164,0.99198,0.98521,0.99169,0.78719,0.94118,0.9488,0.93818,0.81784,0.86671,1.14725,0.04053,0.41619,0.86806,0.000135077,0.000135077,0.000135077
88,2090.85,0.74383,0.72861,0.15395,0.41697,0.85622,0.98965,0.98831,0.99162,0.7886,0.94494,0.94432,0.9364,0.82049,0.86687,1.15169,0.04039,0.41915,0.86924,0.000126078,0.000126078,0.000126078
89,2171.5,0.74399,0.70212,0.15873,0.41282,0.85558,0.98976,0.98663,0.99114,0.78702,0.94585,0.9448,0.94114,0.82784,0.87524,1.12824,0.0394,0.41978,0.87113,0.000117079,0.000117079,0.000117079
90,2219.47,0.74116,0.75262,0.15693,0.41444,0.8486,0.98883,0.98857,0.99232,0.78397,0.94534,0.9453,0.94088,0.82504,0.87073,1.13917,0.04034,0.4185,0.86921,0.00010808,0.00010808,0.00010808
91,2302.78,0.7339,0.74806,0.0626,0.40192,0.85441,0.99007,0.98812,0.99223,0.78309,0.94988,0.94868,0.94648,0.82013,0.87403,1.15564,0.03802,0.41815,0.87039,9.9081e-05,9.9081e-05,9.9081e-05
92,2354.1,0.72249,0.77688,0.05529,0.39354,0.85705,0.988,0.99008,0.9915,0.783,0.94329,0.94758,0.93882,0.81762,0.87471,1.15789,0.03466,0.42073,0.86703,9.00819e-05,9.00819e-05,9.00819e-05
93,2401.68,0.73172,0.78124,0.05507,0.39198,0.85758,0.98969,0.98911,0.99203,0.78556,0.95219,0.95249,0.9468,0.82319,0.87711,1.15398,0.03154,0.42194,0.86861,8.10828e-05,8.10828e-05,8.10828e-05
94,2429.71,0.72156,0.71532,0.05462,0.3924,0.84808,0.99162,0.9877,0.9914,0.78521,0.95359,0.95026,0.94502,0.82441,0.87383,1.15044,0.02918,0.41897,0.86865,7.20837e-05,7.20837e-05,7.20837e-05
95,2449.98,0.72148,0.74388,0.05764,0.39496,0.85166,0.99112,0.98856,0.99164,0.78372,0.953,0.95276,0.94405,0.82254,0.87365,1.14717,0.02803,0.41908,0.86829,6.30846e-05,6.30846e-05,6.30846e-05
96,2469.82,0.71853,0.71359,0.04917,0.39051,0.85881,0.98999,0.98945,0.99055,0.78649,0.95197,0.95341,0.94507,0.82902,0.8721,1.13847,0.02758,0.41495,0.86882,5.40855e-05,5.40855e-05,5.40855e-05
97,2490.81,0.70279,0.74951,0.0485,0.38291,0.85183,0.99169,0.98776,0.99133,0.7874,0.95023,0.94781,0.94442,0.82786,0.86971,1.13102,0.02666,0.41266,0.86741,4.50864e-05,4.50864e-05,4.50864e-05
98,2516.83,0.70598,0.7087,0.0483,0.38086,0.84902,0.99187,0.98753,0.99098,0.78503,0.94807,0.95147,0.94617,0.82929,0.86707,1.127,0.026,0.41085,0.86767,3.60873e-05,3.60873e-05,3.60873e-05
99,2554.83,0.70669,0.71483,0.0488,0.38211,0.8496,0.99179,0.98854,0.99152,0.7858,0.95552,0.95288,0.94933,0.82921,0.86602,1.12684,0.02598,0.40803,0.86629,2.70882e-05,2.70882e-05,2.70882e-05
100,2585.27,0.70116,0.67591,0.04942,0.38366,0.85075,0.99128,0.98923,0.99127,0.78561,0.95494,0.95443,0.94735,0.8288,0.86648,1.12319,0.02526,0.40733,0.86626,1.80891e-05,1.80891e-05,1.80891e-05
